"Tuesday, 2015-12-01, 6.30pm, 8.30pm, FPH"
"Friday, 2015-11-27, 6.30pm, 8.30pm, Hughesdale"
"Sunday, 2015-11-29, 2pm, 4pm, FPH"
"Tuesday, 2015-12-08, 6.30pm, 8.30pm, FPH"
"Friday, 2015-12-04, 6.30pm, 8.30pm, Hughesdale"
"Sunday, 2015-12-06, 2pm, 4pm, FPH"
"Tuesday, 2015-12-15, 6.30pm, 8.30pm, FPH"
"Friday, 2015-12-11, 6.30pm, 8.30pm, Hughesdale"
"Sunday, 2015-12-13, 2pm, 4pm, FPH"
"Tuesday, 2015-12-22, 6.30pm, 8.30pm, FPH"
"Friday, 2015-12-18, 6.30pm, 8.30pm, Hughesdale"
"Sunday, 2015-12-20, 2pm, 4pm, FPH"
"Tuesday, 2015-12-29, 6.30pm, 8.30pm, FPH"
"Friday, 2015-12-25, 6.30pm, 8.30pm, Hughesdale"
"Sunday, 2015-12-27, 2pm, 4pm, FPH"
"Tuesday, 2016-01-05, 6.30pm, 8.30pm, FPH"
"Friday, 2016-01-01, 6.30pm, 8.30pm, Hughesdale"
"Sunday, 2016-01-03, 2pm, 4pm, FPH"
